URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,75,35,0.36,0.12,12.73,0.3,5.21,12.73,283,955,2.61,1,5.671742808798647
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,74,38,0.32,0.21,6.76,0.25,2.8,6.76,134,534,2.46,7,4.854181558255897
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,67,41,0.24,0.13,9.57,0.28,3.94,9.57,226,804,2.73,3,5.409144893111639
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,31,0.33,0.16,6.47,0.24,2.68,6.47,144,589,2.51,17,4.805415617128464
41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,27,0.39,0.12,9.41,0.27,3.87,9.41,194,715,2.54,16,5.0928994082840235
42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,26,0.27,0.14,9.2,0.29,3.8,9.2,145,506,2.5,21,5.005695687550855
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,10,0.43,0.11,7.16,0.26,2.97,7.16,81,315,2.55,7,5.0550964187327825
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.42,0.16,8.2,0.2,3.36,8.2,57,287,2.33,2,4.825214899713467
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,71,34,0.35,0.12,11.25,0.24,4.6,11.25,219,900,2.53,11,4.943616029822927
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,62,-0.17,0.12,9.51,0.22,3.89,9.51,186,856,2.51,1,5.172752043596731
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,24,0.16,0.1,9.84,0.27,4.04,9.84,151,561,2.71,10,5.435897435897436
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,37,31,0.09,0.12,6.8,0.25,2.82,6.8,138,544,2.47,6,5.035655058043118
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,58,26,0.38,0.14,10.2,0.24,4.18,10.2,148,612,2.6,32,4.820450395617772
51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,63,20,0.52,0.13,8.04,0.28,3.33,8.04,182,643,2.58,11,5.13407455853499
52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,0,1.0,0.1,11.43,0.32,4.7,11.43,77,240,2.78,0,5.424849699398798
53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,81,39,0.35,0.18,82.62,0.29,33.16,82.62,193,661,2.5,15,4.78742348358375
54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,21,0,1.0,0.06,7.49,0.24,3.09,7.49,80,337,2.49,0,5.09261744966443
55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,5,0.55,0.07,8.45,0.25,3.48,8.45,86,338,2.72,1,5.437945791726105
56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-1.0,0.04,11.5,0.3,4.72,11.5,21,69,2.65,2,5.372781065088757
58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,80,-0.54,0.17,11.35,0.25,4.64,11.35,154,624,2.45,2,5.098828696925329
59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,16,0.0,0.11,10.54,0.28,4.33,10.54,83,295,2.49,4,4.949509116409537
60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,43,0.12,0.13,6.72,0.17,2.76,6.72,128,732,2.52,10,4.848966613672496
61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,4,0.82,0.15,6.93,0.3,2.89,6.93,88,298,2.62,4,5.128482972136223
62.0,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4,1,0.6,0.03,10.94,0.23,4.47,10.94,40,175,2.24,0,4.997260273972603
63.0,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,8,0.47,0.09,10.18,0.22,4.16,10.18,77,346,2.34,4,4.8192019950124685
64.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,14,8,0.27,0.1,12.11,0.37,4.99,12.11,85,230,2.59,1,5.251612903225807
65.0,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,25,8,0.52,0.24,5.15,0.27,2.17,5.15,37,139,2.74,0,5.127320954907161
66.0,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4,0,1.0,0.05,7.5,0.41,3.16,7.5,31,75,2.88,1,5.339869281045751
67.0,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,20,37,-0.3,0.18,5.69,0.23,2.37,5.69,71,313,2.31,19,4.742177722152691
68.0,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5,3,0.25,0.12,7.56,0.26,3.13,7.56,18,68,2.34,1,4.645714285714286
69.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,44,11,0.6,0.16,11.0,0.31,4.52,11.0,106,341,2.66,0,5.576119402985075
70.0,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1,7,-0.75,0.15,10.4,0.23,4.25,10.4,12,52,2.04,3,4.652777777777778
71.0,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,7,25,-0.56,0.25,6.1,0.23,2.53,6.1,30,128,2.42,6,4.579088471849866
72.0,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,28,54,-0.32,0.11,10.68,0.3,4.39,10.68,231,780,2.64,15,5.364540667056758
73.0,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42,22,0.31,0.1,9.82,0.24,4.02,9.82,163,668,2.41,19,4.733908045977011
74.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,34,29,0.08,0.11,7.15,0.28,2.97,7.15,160,579,2.4,18,4.848337950138504
75.0,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,23,7,0.53,0.1,4.72,0.24,1.98,4.72,68,288,2.51,1,4.506432748538011
76.0,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,42,7,0.71,0.11,7.12,0.23,2.94,7.12,108,463,2.38,4,4.564285714285714
77.0,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,29,6,0.66,0.23,9.44,0.32,3.9,9.44,48,151,2.57,8,4.670281995661605
78.0,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,38,17,0.38,0.08,9.93,0.29,4.09,9.93,199,685,2.67,8,5.143580012650221
79.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,25,72,-0.48,0.26,4.88,0.27,2.06,4.88,101,371,2.39,13,4.780163599182004
80.0,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,56,23,0.42,0.19,5.53,0.13,2.26,5.53,53,420,2.15,5,4.532258064516129
81.0,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,18,31,-0.27,0.11,10.14,0.14,4.11,10.14,62,436,2.17,2,4.795454545454546
82.0,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,24,23,0.02,0.1,8.2,0.27,3.39,8.2,134,492,2.63,9,5.247663551401869
83.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,23,77,-0.54,0.26,5.31,0.29,2.24,5.31,111,382,2.4,15,4.80938123752495
84.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,20,11,0.29,0.12,8.83,0.3,3.65,8.83,78,256,2.49,5,4.812312312312312
85.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,8,8,0.0,0.13,10.82,0.33,4.46,10.82,39,119,2.46,0,4.8788927335640135
86.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,20,0.09,0.13,14.21,0.29,5.8,14.21,98,341,2.52,0,5.25
87.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,18,31,-0.27,0.1,9.14,0.24,3.75,9.14,122,512,2.38,5,5.071487946799667
88.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,39,13,0.5,0.04,7.08,0.11,2.88,7.08,157,1373,2.22,0,5.053897685749086
89.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,34,47,-0.16,0.11,8.76,0.26,3.61,8.76,190,718,2.52,10,4.979178716020821
90.0,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,30,70,-0.4,0.13,12.76,0.27,5.21,12.76,202,753,2.55,0,5.466530054644808
91.0,https://insights.blackcoffer.com/human-rights-outlook/,3,1,0.5,0.09,6.71,0.23,2.78,6.71,11,47,2.28,2,4.524822695035461
92.0,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,26,4,0.73,0.09,9.08,0.22,3.72,9.08,77,345,2.29,2,4.9723225030084235
93.0,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,37,31,0.09,0.1,5.6,0.26,2.34,5.6,170,666,2.57,6,4.891220320265047
94.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,49,15,0.53,0.09,7.69,0.25,3.18,7.69,173,692,2.45,5,5.0042168674698795
95.0,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,32,33,-0.02,0.14,9.85,0.26,4.04,9.85,118,453,2.41,3,5.001904761904762
96.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,42,-0.42,0.08,12.77,0.23,5.2,12.77,180,766,2.59,1,5.225863077823289
97.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,44,-0.52,0.14,8.54,0.25,3.52,8.54,102,410,2.51,5,5.025316455696203
98.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,34,55,-0.24,0.18,6.62,0.27,2.76,6.62,129,483,2.44,37,4.8075
99.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,23,28,-0.1,0.12,11.92,0.32,4.9,11.92,141,441,2.57,12,4.962385321100918
100.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,24,43,-0.28,0.12,9.98,0.25,4.09,9.98,140,559,2.46,3,5.271562766865927
101.0,https://insights.blackcoffer.com/travel-and-tourism-outlook/,3,3,0.0,0.1,5.9,0.25,2.46,5.9,15,59,2.25,2,4.46448087431694
102.0,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,24,42,-0.27,0.15,7.69,0.27,3.18,7.69,124,454,2.42,13,4.815426997245179
103.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,7,26,-0.58,0.12,8.03,0.27,3.32,8.03,74,273,2.44,4,5.03921568627451
104.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,26,61,-0.4,0.16,10.6,0.28,4.35,10.6,147,530,2.56,4,5.257425742574258
105.0,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,21,36,-0.26,0.15,10.35,0.2,4.22,10.35,76,383,2.31,7,4.694756554307116
106.0,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,1.0,0.01,14.0,0.29,5.72,14.0,20,70,2.31,0,5.253623188405797
107.0,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,11,3,0.57,0.06,8.0,0.26,3.3,8.0,56,216,2.33,4,4.723364485981309
108.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,27,59,-0.37,0.21,13.83,0.27,5.64,13.83,113,415,2.47,3,5.194111232279171
109.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,23,28,-0.1,0.24,7.23,0.19,2.97,7.23,41,217,2.12,42,4.225669957686883
110.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,7,43,-0.72,0.11,9.83,0.25,4.03,9.83,113,452,2.37,0,5.203883495145631
111.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,16,37,-0.4,0.12,8.73,0.19,3.57,8.73,84,454,2.5,0,5.2784313725490195
112.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,28,57,-0.34,0.17,9.52,0.32,3.94,9.52,159,495,2.44,3,5.322740814299901
113.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,16,21,-0.14,0.11,9.56,0.28,3.94,9.56,92,325,2.5,8,5.0367553865652726
114.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,48,52,-0.04,0.15,9.61,0.21,3.93,9.61,139,663,2.34,4,4.856036152356359
115.0,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,23,41,-0.28,0.1,11.41,0.26,4.67,11.41,171,662,2.52,3,5.093645484949833
116.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,23,26,-0.06,0.16,31.2,0.17,12.55,31.2,52,312,2.0,46,4.273878020713464
117.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,38,84,-0.38,0.15,12.03,0.24,4.91,12.03,192,794,2.43,11,5.1975524475524475
118.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,33,55,-0.25,0.19,6.05,0.19,2.5,6.05,89,466,2.17,7,4.489499192245558
119.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,9,15,-0.25,0.15,10.47,0.27,4.3,10.47,43,157,2.71,1,5.420245398773006
120.0,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,49,98,-0.33,0.14,11.92,0.23,4.86,11.92,238,1037,2.46,6,5.213683223992502
121.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,33,64,-0.32,0.19,8.29,0.21,3.4,8.29,110,522,2.2,36,4.470144563167819
122.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,29,66,-0.39,0.14,8.13,0.24,3.35,8.13,167,691,2.39,12,4.985242030696576
123.0,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,37,86,-0.4,0.16,10.03,0.23,4.1,10.03,174,752,2.38,11,5.003891050583658
124.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,20,43,-0.37,0.16,8.14,0.24,3.35,8.14,96,399,2.44,9,4.885771543086173
125.0,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,57,22,0.44,0.1,12.29,0.28,5.03,12.29,220,774,2.65,2,5.170329670329671
126.0,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,18,24,-0.14,0.11,11.44,0.25,4.68,11.44,92,366,2.4,3,5.040816326530612
127.0,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,33,88,-0.45,0.2,10.89,0.24,4.45,10.89,142,599,2.49,7,5.148823082763857
128.0,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,7,16,-0.39,0.2,7.67,0.32,3.2,7.67,37,115,2.43,4,4.968531468531468
129.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,5,9,-0.29,0.07,9.48,0.27,3.9,9.48,53,199,2.48,1,5.194444444444445
130.0,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,21,68,-0.53,0.12,15.78,0.17,6.38,15.78,132,773,2.34,3,5.217678893565845
131.0,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,81,31,0.45,0.13,11.87,0.28,4.86,11.87,231,831,2.48,0,5.3009650180940895
132.0,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,26,22,0.08,0.08,10.34,0.22,4.22,10.34,132,610,2.4,8,5.233233979135618
133.0,https://insights.blackcoffer.com/continued-demand-for-sustainability/,25,22,0.06,0.14,12.59,0.37,5.18,12.59,125,340,2.82,0,5.770516717325228
134.0,https://insights.blackcoffer.com/coronavirus-disease-covid-19-effect-the-impact-and-role-of-mass-media-during-the-pandemic/,8,10,-0.11,0.11,12.46,0.37,5.13,12.46,60,162,2.57,4,5.375404530744337
135.0,https://insights.blackcoffer.com/should-people-wear-fabric-gloves-seeking-evidence-regarding-the-differential-transfer-of-covid-19-or-coronaviruses-generally-between-surfaces/,6,8,-0.14,0.12,8.0,0.18,3.27,8.0,20,112,2.12,7,4.4937106918239
136.0,https://insights.blackcoffer.com/why-is-there-a-severe-immunological-and-inflammatory-explosion-in-those-affected-by-sarms-covid-19/,1,19,-0.9,0.13,7.5,0.31,3.12,7.5,47,150,2.63,5,4.728205128205128
137.0,https://insights.blackcoffer.com/what-do-you-think-is-the-lesson-or-lessons-to-be-learned-with-covid-19/,4,7,-0.27,0.13,12.14,0.29,4.97,12.14,25,85,2.45,3,4.90990990990991
138.0,https://insights.blackcoffer.com/coronavirus-the-unexpected-challenge-for-the-european-union/,5,10,-0.33,0.15,7.29,0.39,3.07,7.29,40,102,2.55,8,4.944223107569721
139.0,https://insights.blackcoffer.com/industrial-revolution-4-0-pros-and-cons/,6,0,1.0,0.08,10.71,0.35,4.42,10.71,26,75,2.68,0,5.2026143790849675
140.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy/,12,49,-0.61,0.16,10.21,0.21,4.17,10.21,82,388,2.38,0,4.980561555075594
141.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-2/,5,21,-0.62,0.16,11.0,0.27,4.51,11.0,44,165,2.38,3,4.761904761904762
142.0,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy/,36,76,-0.36,0.14,10.57,0.27,4.34,10.57,209,782,2.57,1,5.103716028840821
143.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-global-economy/,6,27,-0.64,0.12,7.88,0.22,3.24,7.88,58,268,2.54,2,5.024834437086093
145.0,https://insights.blackcoffer.com/blockchain-in-fintech/,11,11,0.0,0.07,8.91,0.25,3.66,8.91,74,294,2.54,2,5.1588397790055245
146.0,https://insights.blackcoffer.com/blockchain-for-payments/,23,27,-0.08,0.12,8.62,0.32,3.58,8.62,131,414,2.48,9,5.3656884875846504
147.0,https://insights.blackcoffer.com/the-future-of-investing/,32,12,0.45,0.09,10.12,0.26,4.15,10.12,131,496,2.61,2,5.17948717948718
148.0,https://insights.blackcoffer.com/big-data-analytics-in-healthcare/,39,48,-0.1,0.16,8.37,0.24,3.44,8.37,131,544,2.51,2,5.068627450980392
149.0,https://insights.blackcoffer.com/business-analytics-in-the-healthcare-industry/,35,6,0.71,0.15,11.04,0.33,4.55,11.04,92,276,2.78,0,5.5760286225402504
150.0,https://insights.blackcoffer.com/challenges-and-opportunities-of-big-data-in-healthcare/,41,42,-0.01,0.17,7.34,0.27,3.04,7.34,129,477,2.57,8,5.014577259475218
